id,fac1,fac2,fac3,fac4,score
1,-2.746259273,1.467854604,1.186819783,-0.412514233,0.95491839
2,-2.649490539,3.043382833,-0.737483036,3.177987936,1.172106415
3,-2.649121065,3.291010059,-0.096048765,0.686619084,0.769961132
4,-2.632931363,3.312677442,0.304847657,0.246965758,0.972988876
5,-2.632461123,3.476730479,-1.165105887,0.540067976,0.521323245
6,-2.632360357,3.835789958,-0.416765902,1.199547966,0.84782259
7,-2.6225189,1.786674658,-1.058200173,1.27282352,0.328816487
8,-2.621679185,1.845486125,-1.28270217,2.078854619,0.544536938
9,-2.621612008,1.093318424,-0.855641981,2.811610164,0.819986354
10,-2.621410476,3.250770635,-1.459096595,2.152130174,0.734675549
11,-2.620469996,3.188863828,-0.283133761,1.199547966,0.743695744
12,-2.617413434,2.981476026,-0.577124469,3.031436827,0.879777061
13,-2.617077548,3.560304668,0.481242082,0.320241312,1.117837996
14,-2.616943193,3.154815085,-0.871115176,1.492650184,0.919612725
15,-2.616842428,3.145529064,-1.095931603,2.445232392,0.64994764
16,-2.580264451,1.33165963,-1.459096595,4.05729459,0.23832035
17,-2.580062919,1.300706226,-1.255564565,1.565925738,0.325979421
18,-2.111401293,0.997362874,-0.577124469,-0.412514233,0.752110483
19,-0.947287868,4.002938336,1.186819783,-0.412514233,1.083596043
20,-0.943794654,3.746025088,1.186819783,-0.412514233,1.148874413
21,-0.9436603,4.315567709,1.186819783,-0.412514233,1.100662106
22,-0.934255494,2.074541309,0.598838365,-0.04613646,1.037700533
23,-0.933818842,1.622621621,-0.577124469,-0.412514233,0.818384282
24,-0.930963812,3.845075979,0.598838365,-0.04613646,1.043578859
25,-0.924581979,2.718372098,1.186819783,-0.412514233,0.975167612
26,-0.924514802,3.39006095,-1.165105887,-0.04613646,1.026405217
27,-0.921155943,2.801946287,0.598838365,-0.04613646,0.743564807
28,-0.892101811,3.702690323,1.186819783,-0.412514233,1.115921448
29,-0.873292199,3.956508231,1.186819783,-0.412514233,0.896981237
30,-0.852702392,0.67854282,1.186819783,-0.412514233,1.156006085
31,-0.852668803,0.694019521,0.598838365,-0.412514233,1.233137384
32,-0.852568038,0.687828841,1.186819783,-0.412514233,1.462664065
33,-0.852534449,0.687828841,0.598838365,0.027139094,1.265796334
34,-0.85226574,0.666161458,0.178851638,0.246965758,0.334253043
35,-0.852232152,0.669256799,0.01085695,-0.412514233,1.02311955
36,-0.852198563,0.690924181,-0.577124469,-0.412514233,1.021491445
37,-0.852097797,0.690924181,1.186819783,-0.412514233,1.442293578
38,-0.8517955,0.687828841,-0.466877953,3.3978146,1.279858316
39,-0.851761912,0.827119156,-1.711088629,6.035734561,0.491752539
40,-0.851694734,0.424724913,-1.859993017,5.302979016,0.478190631
41,-0.851593969,0.666161458,-0.170060412,0.686619084,1.178763104
42,-0.85156038,0.687828841,1.186819783,-0.412514233,1.343137228
43,-0.850653488,0.715686904,0.598838365,-0.412514233,1.138547502
44,-0.850485545,0.675447479,-0.224335618,0.246965758,0.920171404
